,1,3,5,7,9
2021-06-10T05:37:15+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:18+00:00,-0.47,19.94,50.00,21.50,21.01
2021-06-10T05:37:22+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:24+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:27+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:30+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:33+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:36+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:39+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:42+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:45+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:48+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:51+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:54+00:00,-0.47,19.94,50.00,21.50,21.01
2021-06-10T05:37:57+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:00+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:03+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:06+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:09+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:12+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:15+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:18+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:22+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:24+00:00,-0.47,19.94,50.00,21.50,21.01
2021-06-10T05:38:27+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:30+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:34+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:38+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:39+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:42+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:45+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:48+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:51+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:54+00:00,-0.47,19.94,50.00,21.50,21.01
2021-06-10T05:38:57+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:00+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:03+00:00,-0.47,19.94,50.00,21.50,21.01
2021-06-10T05:39:07+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:10+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:12+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:15+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:18+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:21+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:24+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:28+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:31+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:34+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:36+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:39+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:42+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:45+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:48+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:51+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:54+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:39:58+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:40:00+00:00,-0.47,19.94,50.00,21.50,21.01
2021-06-10T05:40:04+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:06+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:40:09+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:12+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:15+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:40:18+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:21+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:40:24+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:27+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:30+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:40:33+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:36+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:39+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:40:42+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:45+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:48+00:00,-0.47,19.94,49.00,21.50,20.98
2021-06-10T05:40:51+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:54+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:40:57+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:00+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:03+00:00,-0.47,19.94,49.00,21.50,20.98
2021-06-10T05:41:07+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:09+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:13+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:15+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:41:18+00:00,-0.47,19.94,50.00,21.60,21.12
2021-06-10T05:41:21+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:24+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:27+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:30+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:33+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:37+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:39+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:42+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:45+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:48+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:51+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:54+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:41:57+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:42:00+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:42:03+00:00,-0.24,19.94,49.00,21.50,20.98
2021-06-10T05:42:06+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:09+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:12+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:16+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:18+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:21+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:24+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:28+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:30+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:33+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:36+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:39+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:42+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:45+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:48+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:52+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:55+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:42:57+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:02+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:03+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:07+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:10+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:13+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:15+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:18+00:00,-0.47,19.94,49.00,21.60,21.09
2021-06-10T05:43:21+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:25+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:28+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:31+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:34+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:36+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:40+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:42+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:46+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:48+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:51+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:55+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:43:57+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:44:00+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:44:03+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:44:40+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:44:43+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:44:46+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:44:48+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:44:51+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:44:54+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:44:58+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:45:00+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:03+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:07+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:09+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:12+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:16+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:18+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:22+00:00,-0.24,19.87,49.00,21.60,21.09
2021-06-10T05:45:25+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:28+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:31+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:34+00:00,-0.24,19.87,49.00,21.60,21.09
2021-06-10T05:45:36+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:40+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:42+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:46+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:48+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:52+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:45:55+00:00,-0.24,19.87,49.00,21.60,21.09
2021-06-10T05:45:57+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:00+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:04+00:00,-0.47,19.87,49.00,21.60,21.09
2021-06-10T05:46:07+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:10+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:46:13+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:46:16+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:46:19+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:46:22+00:00,-0.24,19.87,50.00,21.60,21.12
2021-06-10T05:46:24+00:00,-0.24,19.87,50.00,21.60,21.12
2021-06-10T05:46:28+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:34+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:37+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:39+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:43+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:46+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:49+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:46:52+00:00,-0.24,19.87,49.00,21.60,21.09
2021-06-10T05:46:55+00:00,-0.24,19.87,49.00,21.60,21.09
2021-06-10T05:46:57+00:00,-0.24,19.87,49.00,21.60,21.09
2021-06-10T05:47:01+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:47:04+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:47:07+00:00,-0.24,19.87,49.00,21.60,21.09
2021-06-10T05:47:10+00:00,-0.24,19.94,49.00,21.60,21.09
2021-06-10T05:47:12+00:00,-0.47,19.94,49.00,21.60,21.09
